id,location,products,groupement,subgroupement
29379623,"(47.069, 5.3713)","[81408, 77313, 18690, 81410, 17028, 20614, 16519, 3337, 18827, 78356, 77589, 71316, 48537, 64665, 3372, 66989, 70572, 57005, 66738, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 70601, 3530, 70605, 3450, 10957, 10958, 29777, 10965, 48859, 5983, 72548, 30822, 74342, 62706, 10611, 62707, 11766, 63480, 63481, 63482, 6013]",INDEPENDANTS,STE D'EXP RAVONNEAUX
29379625,"(47.6089, 2.1729)","[81408, 77313, 81410, 46093, 78355, 78356, 76828, 80417, 33335, 58941, 37961, 29777, 64601, 30822, 74342, 43113, 15985, 65660, 17028, 60036, 20614, 75909, 72328, 16519, 63627, 69265, 71316, 71317, 64665, 40093, 77995, 57005, 66738, 68280, 61629, 39616, 10946, 10947, 10957, 10958, 9937, 9938, 10965, 62706, 62707, 9974, 18690, 3337, 3338, 77589, 66839, 74529, 3372, 80176, 11574, 47934, 53566, 76623, 63311, 3410, 74582, 74583, 5983, 72548, 54632, 45416, 54639, 10611, 6013, 18827, 59286, 48537, 48538, 77721, 63908, 21416, 70572, 66989, 15793, 70579, 3507, 19898, 59847, 59848, 70601, 3530, 54232, 59873, 59874, 60387, 67049, 78313, 67561, 11766, 63480, 63481]",C10,EURL BREGENT
29379626,"(45.4168, 4.312)","[77313, 18690, 17028, 20614, 16519, 3337, 3338, 82315, 18827, 63627, 64272, 71316, 71317, 77589, 78356, 66839, 48537, 64665, 77721, 76828, 59942, 77995, 3372, 66989, 57005, 70572, 15793, 66738, 79923, 70579, 3507, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 10958, 76623, 63311, 29777, 3410, 10965, 63445, 54232, 64601, 6108, 5983, 59873, 59874, 72548, 74342, 30822, 45416, 43113, 63466, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 63482, 6013]",DISTRIBOISSONS,ROUCHON SOUCHON
29379627,"(46.0, 4.0333)","[77313, 18690, 17028, 60036, 20614, 16519, 72328, 3337, 3338, 18827, 71316, 71317, 77589, 48537, 64665, 77721, 3372, 66989, 57005, 70572, 80176, 15793, 66738, 3507, 70579, 11574, 33335, 15800, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 63311, 76623, 29777, 9938, 10965, 63445, 54232, 64601, 5983, 59873, 59874, 72548, 30822, 54632, 43113, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 6013]",DISTRIBOISSONS,PAPUT BOISSONS
29379116,"(47.7528, 7.0925)","[77313, 18690, 17028, 58245, 20614, 72328, 3337, 3338, 63627, 78355, 71316, 71317, 78356, 77589, 66839, 64665, 48537, 77721, 76828, 59286, 40093, 3372, 66989, 57005, 70572, 15793, 79923, 70579, 11574, 33335, 19898, 61629, 47934, 53566, 10946, 10947, 59847, 59848, 70601, 37961, 10957, 63311, 76623, 9937, 3410, 3411, 9938, 10965, 63445, 54232, 66780, 59873, 59874, 60387, 72548, 74342, 67049, 43113, 54639, 62706, 10611, 62707, 11766, 9974, 63480, 63481]",DISTRIBOISSONS,ADAM
29379628,"(45.0503, 3.882)","[77313, 17028, 20614, 3337, 3338, 64272, 71316, 71317, 77589, 48537, 3372, 66989, 66738, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 10957, 76623, 63311, 29777, 10965, 54232, 64601, 5983, 59873, 59874, 30822, 54632, 9974, 11766, 63480, 63481, 6013]",DISTRIBOISSONS,UDIVEL
29379632,"('nan', 'nan')","[18690, 20614, 16519, 3337, 69265, 71316, 71317, 64665, 16550, 3372, 66989, 57005, 80176, 11574, 33335, 19898, 61629, 10946, 10947, 59848, 70601, 63311, 29777, 3410, 48859, 5983, 62706, 62707, 10611, 11766, 63480, 63481]",INDEPENDANTS,FICHEL DISTRIBUTION
29379633,"(50.5833, 3.0667)","[77313, 58245, 20614, 16519, 3337, 3338, 63627, 77589, 71317, 66839, 48537, 77721, 64665, 40093, 63908, 16550, 21416, 3372, 66989, 57005, 80176, 15793, 66738, 70579, 11574, 33335, 19898, 61629, 53566, 39616, 10946, 10947, 59847, 59848, 37961, 10957, 10958, 63311, 76623, 29777, 3410, 3411, 10965, 54232, 48859, 66780, 5983, 59873, 59874, 60387, 30822, 54632, 67561, 67049, 43113, 54639, 62706, 62707, 10611, 9974, 6013]",C10,LAMBELIN  
29379635,"(50.7263, 2.6309)","[17028, 20614, 16519, 72328, 3337, 3338, 78355, 78356, 71317, 77589, 48537, 77721, 64665, 63908, 16550, 3372, 66989, 57005, 70572, 15793, 66738, 3507, 70579, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59848, 70601, 3530, 37961, 10957, 10958, 29777, 3410, 10965, 48859, 5983, 59873, 59874, 30822, 54632, 62706, 62707, 10611, 61684, 11766, 9974, 61685, 63481, 65660, 6013]",C10,ENTREPOTS DES FLANDRES
29379639,"(50.702, 2.7783)","[60036, 17028, 20614, 3337, 3338, 63627, 69265, 78355, 78356, 71317, 77589, 71316, 66839, 77721, 48537, 80417, 63908, 77995, 3372, 57005, 66989, 70572, 80176, 15793, 66738, 70579, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 10957, 63311, 29777, 3410, 10965, 74583, 48859, 66780, 5983, 59873, 59874, 60387, 30822, 54632, 67049, 54639, 62707, 9974, 11766, 65660, 6013]",INDEPENDANTS,ETS PLOUVIER
29379641,"(50.466, 3.5001)","[77313, 60036, 20614, 16519, 72328, 3337, 3338, 63627, 75534, 69265, 78355, 71316, 71317, 79894, 66839, 77589, 77721, 48537, 76828, 80417, 63908, 77995, 3372, 66989, 57005, 70572, 80176, 15793, 66738, 3507, 62770, 70579, 11574, 33335, 61629, 47934, 53566, 10946, 10947, 59847, 59848, 37961, 70601, 10957, 76623, 63311, 29777, 3410, 3411, 10965, 74583, 54232, 48859, 5983, 59873, 59874, 60387, 30822, 54632, 43113, 63466, 65642, 67049, 54639, 62706, 10611, 62707, 11766, 9974, 65660, 6013]",DISTRIBOISSONS,COUPEZ JEAN
29379642,"(50.4888, 3.3513)","[16519, 3337, 71317, 16550, 3372, 57005, 11574, 33335, 10946, 10947, 59847, 59848, 37961, 29777, 3410, 3411, 10965, 54232, 48859, 59873, 59874, 30822, 54632, 54639, 62706, 62707, 65660, 6013]",INDEPENDANTS,LEFEBVRE ET FILS
29986364,"(48.6167, 1.9167)","[81408, 77313, 18690, 81410, 17028, 58245, 20614, 72326, 72328, 3337, 3338, 82315, 64272, 63479, 71316, 77589, 78356, 79894, 48537, 64665, 63482, 70572, 66989, 3372, 57005, 80176, 79923, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 70601, 3530, 70605, 10958, 64590, 9937, 9938, 70225, 3410, 63445, 54232, 64601, 48859, 59873, 59874, 61943, 72548, 74342, 63466, 10611, 61684, 61685, 11766, 61687, 63480, 63481, 3450, 62707, 63478]",NATIONAL CUSTOMER,SAS FILL
29724733,"(45.8907, 6.0097)",[77311],INDEPENDANTS,
29379646,"(50.676, 2.8451)","[77313, 17028, 60036, 20614, 16519, 58245, 3337, 62474, 82315, 63627, 18827, 3338, 64272, 78356, 71316, 77589, 71317, 66839, 48537, 77721, 40093, 74529, 63908, 58277, 16550, 59942, 21416, 77995, 70572, 66989, 3372, 57005, 80176, 15793, 66738, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 10958, 63311, 76623, 70225, 3410, 3411, 29777, 10965, 74582, 48859, 66780, 5983, 59873, 59874, 60387, 72548, 30822, 54632, 43113, 67562, 54639, 62706, 10611, 62707, 11766, 9974, 63481, 65660]",C10,VANDENDRIESSCHE
29750335,"(46.2542, -1.0267)","[81408, 81410, 17028, 20614, 72328, 71316, 78356, 64665, 48537, 66989, 33335, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 70605, 59873, 59874, 74342, 65643, 10611, 62707, 11766, 63480, 63481]",NATIONAL CUSTOMER,POLE CERVOISERIE
29379650,"(50.2771, 3.7939)","[18690, 20614, 16519, 3337, 3338, 71316, 71317, 66839, 48537, 48538, 16550, 3372, 57005, 66989, 70572, 80176, 70579, 11574, 33335, 61629, 10946, 10947, 59847, 59848, 10957, 10958, 3410, 10965, 48859, 5983, 59873, 59874, 62706, 62707, 11766, 9974, 65660, 6013]",C10,EXPLOITATION ETS POIRETTE
29379651,"(50.0566, 4.0745)","[81408, 77313, 78356, 80417, 33335, 37961, 67151, 29777, 70225, 30822, 74342, 43113, 65660, 17028, 60036, 20614, 16519, 72328, 69265, 71316, 71317, 64665, 40093, 16550, 57005, 66738, 61629, 10946, 10947, 10957, 10958, 9938, 10965, 48859, 66780, 62706, 62707, 9974, 61687, 18690, 3337, 3338, 64272, 77589, 66839, 3372, 80176, 11574, 53566, 47934, 76623, 63311, 3410, 3411, 5983, 72548, 54632, 54639, 69490, 10611, 3450, 6013, 58245, 18827, 48537, 77721, 63908, 70572, 66989, 15793, 3507, 70579, 19898, 59847, 59848, 70601, 3530, 70605, 54232, 6108, 59873, 59874, 11766, 63480, 63481]",C10,VIEVILLE SOGEDIB ETS VIEVILLE SARL
29839429,"(43.9483, 4.8089)","[77313, 75909, 20614, 3337, 3338, 63627, 18827, 71316, 71317, 59286, 77589, 77721, 76828, 59939, 59940, 59941, 3372, 57005, 66989, 15793, 66738, 79923, 70579, 11574, 19898, 61629, 10946, 10947, 59847, 59848, 10957, 76623, 10965, 63445, 54232, 64601, 5983, 59873, 59874, 60387, 30822, 78313, 54639, 62706, 10611, 9974, 11766, 65660, 6013]",C10,ROSSI
29379657,"(45.7, -0.2167)","[77313, 18690, 17028, 20614, 3337, 3338, 63627, 18827, 71316, 71317, 79894, 77589, 66839, 48537, 77721, 76828, 3372, 57005, 66989, 80176, 15793, 66738, 79923, 3507, 11574, 33335, 15800, 19898, 61629, 47934, 10946, 10947, 59847, 59848, 37961, 3530, 10957, 64590, 76623, 63311, 3410, 10965, 63445, 74583, 54232, 64601, 66780, 15710, 59873, 59874, 60387, 72548, 54632, 67561, 65642, 43113, 54639, 15985, 10611, 11766, 9974, 63480, 63481, 6013]",C10,LE BIHAN
29379658,"(45.7167, -0.3)","[81408, 77313, 18690, 60036, 17028, 20614, 72328, 3337, 3338, 63627, 75534, 69265, 78355, 78356, 71316, 71317, 77589, 76952, 77721, 48537, 64665, 80417, 59939, 21416, 3372, 57005, 66989, 70572, 20527, 15793, 66738, 80176, 53425, 63285, 11574, 33335, 70579, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 37961, 70601, 72396, 10957, 63311, 76623, 29777, 9937, 10965, 74582, 63445, 74583, 54232, 72414, 5983, 59873, 59874, 60387, 74342, 30822, 54632, 67049, 72434, 10611, 62706, 62707, 9974, 11766, 63480, 63481, 65660, 6013]",DISTRIBOISSONS,GIE SELECTOR
29379661,"(47.0833, 2.4)","[81408, 77313, 18690, 81410, 17028, 75909, 20614, 3337, 3338, 63627, 18827, 71317, 77589, 59286, 66839, 77721, 48537, 3372, 66989, 57005, 70572, 15793, 70579, 3507, 11574, 33335, 80125, 19898, 61629, 53566, 47934, 10946, 10947, 59847, 59848, 37961, 70601, 72396, 10957, 63311, 76623, 3410, 3411, 10965, 63445, 54232, 64601, 66780, 5983, 59873, 59874, 60387, 72548, 74342, 54632, 43113, 54639, 15985, 62706, 10611, 62707, 9974, 11766, 6013]",C10,SCHOEN
29379663,"(45.1203, 1.9732)","[18690, 81410, 60036, 20614, 16519, 72328, 3337, 69265, 71316, 71317, 77589, 66839, 76952, 77721, 48537, 77978, 76828, 64665, 74529, 59942, 3372, 66989, 80176, 15793, 66738, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59848, 70601, 3530, 37961, 10957, 76623, 63311, 5983, 59873, 59874, 30822, 74342, 54632, 43113, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 65660, 6013]",C10,MESPOULET
29379664,"(45.15, 1.5333)","[77313, 20614, 69265, 71316, 71317, 48537, 77721, 80417, 3372, 66989, 15793, 66738, 11574, 19898, 61629, 10946, 10947, 37961, 76623, 63311, 10965, 74583, 59874, 60387, 30822, 43113, 9974, 11766, 65660, 6013]",C10,MESPOULET
29801553,"(47.9501, 1.876)","[10946, 3410, 10965, 71317]",FRANCE BOISSONS,France BOISSONS
29379666,"(48.4554, -2.028)","[77313, 58245, 20614, 3337, 63627, 71317, 77589, 48537, 77721, 77995, 3372, 66989, 57005, 80176, 15793, 70579, 11574, 33335, 19898, 61629, 53566, 39616, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 76623, 3410, 3411, 63445, 10965, 74583, 54232, 64601, 5983, 59873, 59874, 60387, 30822, 54632, 62706, 62707, 11766, 9974, 65660, 6013]",C10,COZIGOU  
29379667,"('nan', 'nan')","[77313, 18690, 20614, 3337, 3338, 63627, 75534, 69265, 71317, 77721, 64665, 80417, 59940, 3372, 66989, 15793, 11574, 33335, 15800, 19898, 58941, 61629, 10946, 10947, 59847, 59848, 70601, 10957, 76623, 63311, 3410, 10965, 54232, 5983, 59874, 60387, 30822, 9974, 11766, 63478, 63481, 63482, 65660, 6013]",C10,COZIGOU  
29379668,"(48.8427, -3.139)","[81408, 81410, 60036, 20614, 3337, 75534, 78356, 71317, 48537, 64665, 3372, 66989, 57005, 80176, 11574, 33335, 19898, 61629, 10946, 10947, 59848, 70601, 70605, 3410, 10965, 74582, 5983, 59873, 59874, 74342, 62706, 62707, 9974, 11766, 65660, 6013]",C10,Les Fils de Louis MAHE
29379671,"(49.7752, 4.6817)","[18690, 17028, 58245, 20614, 16519, 3337, 3338, 71316, 48537, 77721, 16550, 3372, 57005, 66989, 80176, 15793, 70579, 11574, 19898, 61629, 53566, 10946, 10947, 59848, 37961, 10957, 29777, 3410, 10965, 48859, 59873, 59874, 72548, 30822, 54632, 67049, 62706, 62707, 11766, 9974, 63482, 6013]",C10,SOREDIS
29379672,"(43.0816, 1.649)","[17028, 20614, 3337, 3338, 18827, 77589, 3372, 66989, 57005, 70572, 80176, 66738, 70579, 11574, 33335, 19898, 61629, 10946, 10947, 10957, 3410, 10965, 48859, 59873, 59874, 54632, 62706, 62707, 11766, 9974, 63481, 6013]",C10,ARIEGE BOISSONS DISTRIBUTION
29379673,"(48.3, 4.0833)","[81408, 77313, 18690, 81410, 17028, 75909, 20614, 3337, 75534, 71316, 78356, 71317, 66839, 77589, 64665, 48537, 67483, 76828, 77721, 76952, 66719, 16550, 77995, 3372, 66989, 70572, 59286, 15793, 66738, 79923, 70579, 11574, 33335, 19898, 61629, 53566, 47934, 10946, 10947, 59847, 59848, 37961, 70601, 10957, 76623, 63311, 3410, 3411, 10965, 74582, 74583, 54232, 64601, 34906, 73181, 5983, 30822, 74342, 54632, 62706, 10611, 62707, 11766, 9974, 65660, 6013]",C10,SA  JURA BOISSONS
29379676,"(43.4522, 5.413)","[77313, 3337, 3338, 63627, 18827, 71317, 77589, 3372, 79923, 70579, 11574, 15800, 19898, 10946, 10947, 59847, 59848, 37961, 72396, 10957, 76623, 29777, 3410, 3411, 10965, 63445, 74582, 54232, 60505, 45918, 59873, 59874, 72548, 43113, 71275, 62706, 9974, 11766]",FRANCE BOISSONS,France BOISSONS
29379677,"(43.6768, 4.6303)","[77313, 60036, 20614, 3337, 3338, 63627, 18827, 75534, 69265, 71317, 77589, 66839, 48537, 64665, 77721, 76828, 80417, 21416, 3372, 57005, 66989, 70572, 80176, 15793, 66738, 70579, 11574, 33335, 19898, 61629, 10946, 10947, 37961, 10957, 76623, 63311, 68431, 3410, 29777, 10965, 54232, 48859, 5983, 59873, 59874, 60387, 30822, 67049, 67561, 43113, 54639, 62706, 62707, 11766, 9974, 65660, 6013]",C10,BRASSERIE DU DELTA
40016990,"(49.7394, 2.2184)","[17028, 20614, 71316, 77589, 78356, 48537, 76828, 59942, 66989, 33335, 19898, 61629, 53566, 10946, 10947, 70601, 3530, 48859, 10611, 11766]",INDEPENDANTS,
29379678,"(43.2789, 5.4152)","[77313, 20614, 3337, 3338, 63627, 18827, 78355, 71316, 71317, 77589, 66839, 48537, 77721, 3372, 66989, 57005, 70572, 15793, 66738, 70579, 11574, 15800, 19898, 61629, 47934, 10946, 10947, 59847, 59848, 37961, 10957, 64590, 76623, 63311, 3410, 10965, 63445, 54232, 64601, 66780, 59873, 59874, 72548, 54632, 43113, 65642, 62706, 62707, 9974, 11766, 6013]",DISTRIBOISSONS,MONTANER
29379680,"(49.14, -0.349)","[77313, 20614, 3337, 63627, 18827, 71317, 77589, 48537, 3372, 66989, 70572, 70579, 11574, 33335, 19898, 10946, 10947, 59847, 59848, 10957, 63311, 76623, 10965, 54232, 5983, 59873, 59874, 72548, 43113, 62706, 62707, 9974, 11766, 6013]",FRANCE BOISSONS,France BOISSONS
29379681,"(45.108, 2.8667)","[10946, 10947, 45416, 3372, 66989, 66738, 71316, 71317, 11574, 33335, 48859, 6013, 5983]",INDEPENDANTS,ETS COMBES PATRICK
29379682,"(45.6833, 0.1667)","[77313, 18690, 17028, 20614, 3337, 3338, 63627, 75534, 69265, 71316, 71317, 77589, 59286, 66839, 48537, 77721, 80417, 3372, 66989, 70572, 15793, 66738, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 76623, 63311, 9937, 3410, 10965, 54232, 59873, 59874, 72548, 54632, 43113, 65642, 54639, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 65660, 6013]",DISTRIBOISSONS,LA ROCHELLE BOISSONS
29379684,"(43.4358, 1.6628)","[81408, 77313, 18690, 81410, 17028, 20614, 72328, 3337, 63627, 64272, 71316, 78356, 71317, 77589, 66839, 48537, 64665, 77721, 63482, 3372, 66989, 15793, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 70605, 10957, 76623, 64590, 70225, 3410, 10965, 63445, 54232, 61687, 59873, 59874, 74342, 43113, 63466, 54639, 15985, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 3450, 6013]",C10,CROUZIL FRERES
29564005,"(44.2361, 1.7717)","[77313, 60036, 20614, 3337, 3338, 18827, 71316, 71317, 77589, 66839, 77721, 48537, 77995, 3372, 57005, 66989, 80176, 15793, 66738, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 10957, 63311, 76623, 3411, 10965, 54232, 5983, 59873, 59874, 72548, 54632, 43113, 54639, 15985, 62707, 11766, 9974, 63480, 6013]",C10,MESPOULET
29840997,"(46.2455, 4.7422)","[20614, 16519, 3337, 63627, 18827, 71316, 77589, 71317, 77721, 77995, 57005, 15793, 70579, 11574, 15800, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 10957, 63311, 76623, 10965, 48859, 59873, 59874, 60387, 72548, 30822, 43113, 11766, 9974, 6013]",DISTRIBOISSONS,MURGIER
29379687,"(44.85, -0.2833)","[77313, 3337, 3338, 18827, 63627, 71317, 77589, 3372, 79923, 11574, 19898, 10946, 59847, 59848, 37961, 72396, 10957, 63311, 76623, 63445, 74582, 10965, 54232, 64601, 59873, 59874, 60387, 72548, 43113, 62706, 61684, 9974, 6013]",FRANCE BOISSONS,France BOISSONS
